Timestamp;TestCase;Algorithm;Seed;Unused;Total Duration[ms];Avg priority;Roads Count;Total requests;Throughput;Avg distance;Avg time;Roads to MVC Count;Roads to storage Count;Roads escape Count;Avg to MVC distance;Avg to storage distance;Avg escape distance;Avg to MVC time;Avg to storage time;Avg escape time
Mon Sep 03 09:17:10 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;947852789;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Mon Sep 03 09:17:16 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;-1043927113;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Mon Sep 03 09:30:12 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;18480304;;25800;0.8253170900767316;8;3;0.11627906976744186;3100.0;4975.0;3;3;2;3000.0;5133.333333333333;200.0;6000.0;7133.333333333333;200.0
Mon Sep 03 13:06:21 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;123;;31600;0.7095748125103535;27;6;0.189873417721519;2251.8518518518517;3362.962962962963;6;6;15;4500.0;4050.0;633.3333333333334;7500.0;6050.0;633.3333333333334
Mon Sep 03 13:17:11 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;123;;46300;0.6420392318036787;64;10;0.2159827213822894;2239.0625;3020.3125;10;10;44;8000.0;4560.0;402.27272727272725;11000.0;6560.0;402.27272727272725
Mon Sep 03 13:31:30 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;123;;25100;0.6557887351162591;12;3;0.11952191235059761;4350.0;5600.0;3;3;6;5900.0;8866.666666666666;1316.6666666666667;8900.0;10866.666666666666;1316.6666666666667
Mon Sep 03 13:33:23 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;123;;46200;0.6420392318036787;62;10;0.21645021645021645;2383.8709677419356;3190.3225806451615;10;10;42;7820.0;4670.0;545.2380952380952;10820.0;6670.0;545.2380952380952
Mon Sep 03 13:47:24 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;123;;27100;0.6557887351162591;12;3;0.11070110701107011;4850.0;6100.0;3;3;6;6566.666666666667;8866.666666666666;1983.3333333333333;9566.666666666666;10866.666666666666;1983.3333333333333
Mon Sep 03 13:48:28 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;123;;27100;0.6557887351162591;12;3;0.11070110701107011;4850.0;6100.0;3;3;6;6566.666666666667;8866.666666666666;1983.3333333333333;9566.666666666666;10866.666666666666;1983.3333333333333
Mon Sep 03 13:50:20 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;123;;27100;0.6557887351162591;12;3;0.11070110701107011;4850.0;6100.0;3;3;6;6566.666666666667;8866.666666666666;1983.3333333333333;9566.666666666666;10866.666666666666;1983.3333333333333
Mon Sep 03 13:52:03 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;123;;51500;0.6306768011069397;35;8;0.1553398058252427;4048.5714285714284;5191.428571428572;8;8;19;8262.5;7137.5;973.6842105263158;11262.5;9137.5;973.6842105263158
Mon Sep 03 13:55:38 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;123;;39400;0.6420392318036787;40;10;0.25380710659898476;2865.0;4115.0;10;10;20;4860.0;5120.0;740.0;7860.0;7120.0;740.0
Mon Sep 03 14:30:10 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer2;2037771380;;27200;0.5981647344700051;26;6;0.22058823529411764;2050.0;3203.846153846154;6;6;14;3583.3333333333335;3783.3333333333335;650.0;6583.333333333333;5783.333333333333;650.0
Mon Sep 03 14:49:37 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer2;-2128055945;;46500;0.5003646809728336;52;10;0.21505376344086022;3215.3846153846152;4176.923076923077;10;10;32;8050.0;6210.0;768.75;11050.0;8210.0;768.75
Mon Sep 03 14:51:40 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer2;528288047;;35100;0.6702116601199275;44;10;0.2849002849002849;2654.5454545454545;3790.909090909091;10;10;24;6160.0;4350.0;487.5;9160.0;6350.0;487.5
Mon Sep 03 14:55:06 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer2;-541331737;;49400;0.3912791511678358;61;10;0.20242914979757085;2508.1967213114754;3327.8688524590166;10;10;41;7680.0;4370.0;792.6829268292682;10680.0;6370.0;792.6829268292682
Mon Sep 03 14:58:36 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer2;1934919472;;45600;0.30893156770368624;53;10;0.21929824561403508;3135.8490566037735;4079.245283018868;10;10;33;8050.0;6290.0;690.9090909090909;11050.0;8290.0;690.9090909090909
Mon Sep 03 15:51:09 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer2;1636862867;;45600;0.43131984925769;53;10;0.21929824561403508;3135.8490566037735;4079.245283018868;10;10;33;8050.0;6290.0;690.9090909090909;11050.0;8290.0;690.9090909090909
Mon Sep 03 16:05:58 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer2;-680717795;;49600;0.4008764759562656;41;10;0.20161290322580644;3856.0975609756097;5075.609756097561;10;10;21;7690.0;5820.0;1095.2380952380952;10690.0;7820.0;1095.2380952380952
Mon Sep 03 16:08:13 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer2;83200202;;52200;0.6398600454485226;44;10;0.19157088122605365;3688.6363636363635;4825.0;10;10;24;8490.0;4300.0;1433.3333333333333;11490.0;6300.0;1433.3333333333333
Mon Sep 03 16:09:45 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer2;12999371;;38200;0.6120840040169261;37;10;0.2617801047120419;2521.6216216216217;3872.972972972973;10;10;17;4890.0;3920.0;305.88235294117646;7890.0;5920.0;305.88235294117646
Mon Sep 03 16:22:08 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer2;1883200356;;32000;0.6194174362934968;34;10;0.3125;2285.294117647059;3755.8823529411766;10;10;14;3690.0;3760.0;228.57142857142858;6690.0;5760.0;228.57142857142858
Tue Sep 04 03:45:18 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer2;1399131126;;23900;0.4170788472628181;7;2;0.08368200836820083;4471.428571428572;5900.0;2;2;3;9200.0;3350.0;2066.6666666666665;12200.0;5350.0;2066.6666666666665
Tue Sep 04 07:37:07 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer2;187091111;;28900;0.3460316605061282;23;4;0.1384083044982699;3243.478260869565;4113.04347826087;4;4;15;7250.0;7000.0;1173.3333333333333;10250.0;9000.0;1173.3333333333333
Tue Sep 04 07:49:33 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;-1202874581;;25200;0.6516535499346446;17;4;0.15873015873015872;2935.294117647059;4111.764705882353;4;4;9;5000.0;6800.0;300.0;8000.0;8800.0;300.0
Tue Sep 04 07:51:59 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;1586171377;;28600;0.3007916940740209;24;6;0.2097902097902098;3204.1666666666665;4454.166666666667;6;6;12;5766.666666666667;5700.0;675.0;8766.666666666666;7700.0;675.0
Tue Sep 04 07:54:34 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;721121760;;33900;0.5242867704878478;34;8;0.2359882005899705;2976.470588235294;4152.941176470588;8;8;18;4750.0;6437.5;650.0;7750.0;8437.5;650.0
Tue Sep 04 07:58:02 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;-177201784;;49900;0.5419211588728057;33;8;0.16032064128256512;4312.121212121212;5524.242424242424;8;8;17;7962.5;7650.0;1023.5294117647059;10962.5;9650.0;1023.5294117647059
Tue Sep 04 08:00:29 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;1612107233;;48600;0.3845329752013515;37;8;0.1646090534979424;3986.4864864864867;5067.5675675675675;8;8;21;7637.5;7975.0;1076.1904761904761;10637.5;9975.0;1076.1904761904761
Tue Sep 04 08:05:01 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;-271362045;;49900;0.434517814417338;33;8;0.16032064128256512;4312.121212121212;5524.242424242424;8;8;17;7962.5;7650.0;1023.5294117647059;10962.5;9650.0;1023.5294117647059
Tue Sep 04 08:06:21 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer1;1998076139;;33900;0.5365312092333575;34;8;0.2359882005899705;2976.470588235294;4152.941176470588;8;8;18;4750.0;6437.5;650.0;7750.0;8437.5;650.0
Tue Sep 04 08:41:22 EDT 2012;RouteChooseTest_InputFromFile;RealizerVer2;-156452851;;31900;0.479824902346272;28;8;0.2507836990595611;2975.0;4403.571428571428;8;8;12;5587.5;4337.5;325.0;8587.5;6337.5;325.0
Mon Sep 10 06:59:38 EDT 2012;RouteChooseTest_InputFromFile;BackwardsRealizer;1989937769;;18300;0.0;6;2;0.1092896174863388;4300.0;5966.666666666667;2;2;2;5450.0;6900.0;550.0;8450.0;8900.0;550.0
Mon Sep 10 07:22:44 EDT 2012;RouteChooseTest_InputFromFile;BackwardsRealizer;1656092562;;13800;0.0;6;2;0.14492753623188406;2700.0;4366.666666666667;2;2;2;1450.0;5900.0;750.0;4450.0;7900.0;750.0
Tue Sep 11 01:50:22 EDT 2012;RouteChooseTest_InputFromFile;BackwardsRealizer;-883755855;;23300;0.0;6;2;0.08583690987124463;5233.333333333333;6900.0;2;2;2;6400.0;8850.0;450.0;9400.0;10850.0;450.0
Tue Sep 11 01:51:32 EDT 2012;RouteChooseTest_InputFromFile;BackwardsRealizer;-1368875536;;23300;0.0;6;2;0.08583690987124463;5233.333333333333;6900.0;2;2;2;6400.0;8850.0;450.0;9400.0;10850.0;450.0
Tue Sep 11 01:57:24 EDT 2012;RouteChooseTest_InputFromFile;BackwardsRealizer;-582284040;;23300;0.0;6;2;0.08583690987124463;5233.333333333333;6900.0;2;2;2;6400.0;8850.0;450.0;9400.0;10850.0;450.0
