Timestamp;TestCase;Algorithm;Seed;Unused;Total Duration[ms];Avg priority;Roads Count;Total requests;Throughput;Avg distance;Avg time;Roads to MVC Count;Roads to storage Count;Roads escape Count;Avg to MVC distance;Avg to storage distance;Avg escape distance;Avg to MVC time;Avg to storage time;Avg escape time
Mon Sep 03 05:17:51 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;37200;0.5339852376947618;41;8;0.21505376344086022;2265.8536585365855;3241.4634146341464;8;8;25;6537.5;4087.5;316.0;9537.5;6087.5;316.0
Mon Sep 03 06:23:06 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;15900;0.6473827243209808;5;2;0.12578616352201258;3420.0;5420.0;2;2;1;5600.0;2850.0;200.0;8600.0;4850.0;200.0
Mon Sep 03 07:00:34 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;16900;0.6591624789769224;5;2;0.11834319526627218;3160.0;5160.0;2;2;1;6200.0;1600.0;200.0;9200.0;3600.0;200.0
Mon Sep 03 07:06:27 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;16900;0.6591624789769224;5;2;0.11834319526627218;3160.0;5160.0;2;2;1;6200.0;1600.0;200.0;9200.0;3600.0;200.0
Mon Sep 03 07:30:43 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;16900;0.6591624789769224;6;2;0.11834319526627218;2633.3333333333335;4300.0;2;2;2;6200.0;1550.0;150.0;9200.0;3550.0;150.0
Mon Sep 03 07:38:10 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;16900;0.6591624789769224;6;2;0.11834319526627218;3333.3333333333335;5000.0;2;2;2;6200.0;3550.0;250.0;9200.0;5550.0;250.0
Mon Sep 03 07:43:31 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;16900;0.6591624789769224;6;2;0.11834319526627218;3333.3333333333335;5000.0;2;2;2;6200.0;3550.0;250.0;9200.0;5550.0;250.0
Mon Sep 03 07:57:47 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;12;;59000;0.48323302008132957;45;10;0.1694915254237288;3360.0;4471.111111111111;10;10;25;8180.0;5830.0;444.0;11180.0;7830.0;444.0
Mon Sep 03 07:59:39 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;12;;59000;0.48323302008132957;45;10;0.1694915254237288;3360.0;4471.111111111111;10;10;25;8180.0;5830.0;444.0;11180.0;7830.0;444.0
Mon Sep 03 08:01:20 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;12;;59000;0.48323302008132957;44;10;0.1694915254237288;3570.4545454545455;4706.818181818182;10;10;24;8580.0;4930.0;916.6666666666666;11580.0;6930.0;916.6666666666666
Mon Sep 03 16:28:00 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;123;;11100;0.6223695706637618;4;1;0.09009009009009009;1725.0;2975.0;1;1;2;3600.0;2500.0;400.0;6600.0;4500.0;400.0
Mon Sep 03 16:31:55 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;12;;11300;0.931994623065052;2;1;0.08849557522123894;3150.0;5650.0;1;1;0;6100.0;200.0;0.0;9100.0;2200.0;0.0
Mon Sep 03 16:32:48 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;12;;21300;0.6143018635152783;10;3;0.14084507042253522;3320.0;4820.0;3;3;4;8766.666666666666;1766.6666666666667;400.0;11766.666666666666;3766.6666666666665;400.0
Tue Sep 04 02:09:56 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;12;;21300;0.6143018635152783;10;3;0.14084507042253522;3320.0;4820.0;3;3;4;8766.666666666666;1766.6666666666667;400.0;11766.666666666666;3766.6666666666665;400.0
Tue Sep 04 02:11:23 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;12;;22200;0.40473455128833535;16;4;0.18018018018018017;2737.5;3987.5;4;4;8;6550.0;3650.0;375.0;9550.0;5650.0;375.0
Tue Sep 04 02:13:30 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;12;;22800;0.5129840241442349;16;4;0.17543859649122806;2875.0;4125.0;4;4;8;6050.0;3750.0;850.0;9050.0;5750.0;850.0
Tue Sep 04 02:19:49 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;12;;22000;0.9116196879543925;18;2;0.09090909090909091;2166.6666666666665;3055.5555555555557;4;2;12;7400.0;2300.0;400.0;10400.0;4300.0;400.0
Tue Sep 04 02:22:36 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;12;;22000;0.9116196879543925;18;2;0.09090909090909091;2166.6666666666665;3055.5555555555557;4;2;12;7400.0;2300.0;400.0;10400.0;4300.0;400.0
Tue Sep 04 02:23:26 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;12;;22000;0.9116196879543925;18;2;0.09090909090909091;2166.6666666666665;3055.5555555555557;4;2;12;7400.0;2300.0;400.0;10400.0;4300.0;400.0
Tue Sep 04 02:25:36 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;12;;22000;0.5698878983174614;14;4;0.18181818181818182;3114.285714285714;4542.857142857143;4;4;6;6900.0;3450.0;366.6666666666667;9900.0;5450.0;366.6666666666667
Tue Sep 04 03:54:07 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;12;;22000;0.9116196879543925;18;2;0.09090909090909091;2166.6666666666665;3055.5555555555557;4;2;12;7400.0;2300.0;400.0;10400.0;4300.0;400.0
Tue Sep 04 04:42:18 EDT 2012;RouteChooseTest_UserDef;RandomRealizer;12;;26600;0.746437771374767;12;4;0.15037593984962405;2566.6666666666665;4233.333333333333;4;4;4;3625.0;3575.0;500.0;6625.0;5575.0;500.0
Tue Sep 04 04:43:04 EDT 2012;RouteChooseTest_UserDef;RandomRealizer;12;;26600;0.746437771374767;12;4;0.15037593984962405;2566.6666666666665;4233.333333333333;4;4;4;3625.0;3575.0;500.0;6625.0;5575.0;500.0
Tue Sep 04 04:43:54 EDT 2012;RouteChooseTest_UserDef;RandomRealizer;12;;26600;0.746437771374767;12;4;0.15037593984962405;2566.6666666666665;4233.333333333333;4;4;4;3625.0;3575.0;500.0;6625.0;5575.0;500.0
Tue Sep 04 04:45:25 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;12;;22000;0.9116196879543925;18;2;0.09090909090909091;2166.6666666666665;3055.5555555555557;4;2;12;7400.0;2300.0;400.0;10400.0;4300.0;400.0
Tue Sep 04 05:14:10 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;12;;25500;0.5980374104000509;19;4;0.1568627450980392;2847.3684210526317;3900.0;4;4;11;7975.0;3875.0;609.0909090909091;10975.0;5875.0;609.0909090909091
Tue Sep 04 05:19:32 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;12;;25500;0.5980374104000509;19;4;0.1568627450980392;2847.3684210526317;3900.0;4;4;11;7975.0;3875.0;609.0909090909091;10975.0;5875.0;609.0909090909091
Tue Sep 04 05:23:21 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;12;;22800;0.6908716583209944;16;4;0.17543859649122806;2750.0;4000.0;4;4;8;8225.0;1550.0;612.5;11225.0;3550.0;612.5
Tue Sep 04 05:58:50 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;12;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Wed Sep 05 09:51:17 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;1244;;25000;0.6076062060976997;15;4;0.16;3306.6666666666665;4640.0;4;4;7;9450.0;2325.0;357.14285714285717;12450.0;4325.0;357.14285714285717
Wed Sep 05 09:56:07 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;1244;;25000;0.6076062060976997;15;4;0.16;3306.6666666666665;4640.0;4;4;7;9450.0;2325.0;357.14285714285717;12450.0;4325.0;357.14285714285717
Wed Sep 05 15:25:26 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;1244;;25000;0.6076062060976997;15;4;0.16;3306.6666666666665;4640.0;4;4;7;9450.0;2325.0;357.14285714285717;12450.0;4325.0;357.14285714285717
Wed Sep 05 15:28:18 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;1244;;25000;0.6076062060976997;15;4;0.16;3306.6666666666665;4640.0;4;4;7;9450.0;2325.0;357.14285714285717;12450.0;4325.0;357.14285714285717
Wed Sep 05 15:30:35 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;1244;;25000;0.6076062060976997;15;4;0.16;3306.6666666666665;4640.0;4;4;7;9450.0;2325.0;357.14285714285717;12450.0;4325.0;357.14285714285717
Wed Sep 05 15:33:33 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;1244;;25000;0.6076062060976997;15;4;0.16;3306.6666666666665;4640.0;4;4;7;9450.0;2325.0;357.14285714285717;12450.0;4325.0;357.14285714285717
Wed Sep 05 15:34:42 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;1244;;25000;0.6076062060976997;15;4;0.16;3306.6666666666665;4640.0;4;4;7;9450.0;2325.0;357.14285714285717;12450.0;4325.0;357.14285714285717
Wed Sep 05 15:36:53 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;1244;;25000;0.6076062060976997;15;4;0.16;3306.6666666666665;4640.0;4;4;7;9450.0;2325.0;357.14285714285717;12450.0;4325.0;357.14285714285717
Wed Sep 05 15:46:02 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;1244;;24700;0.7512650520814651;16;4;0.16194331983805668;3281.25;4531.25;4;4;8;10225.0;2175.0;362.5;13225.0;4175.0;362.5
Wed Sep 05 15:47:45 EDT 2012;RouteChooseTest_UserDef;RandomRealizer;1244;;39800;0.7579987359339966;18;4;0.10050251256281408;4011.1111111111113;5122.222222222223;4;4;10;10500.0;4225.0;1330.0;13500.0;6225.0;1330.0
Thu Sep 06 02:57:48 EDT 2012;RouteChooseTest_UserDef;RandomRealizer;1244;;39800;0.7579987359339966;18;4;0.10050251256281408;4011.1111111111113;5122.222222222223;4;4;10;10500.0;4225.0;1330.0;13500.0;6225.0;1330.0
