route;bot;routeType;startTime;endTime;time
28;1;BLOCKER;0.0;10674.0;10674.0
27;4;ROUTE_1;0.0;16850.0;16850.0
26;4;BLOCKER;16850.0;22250.0;5400.0
25;3;ROUTE_1;0.0;24495.0;24495.0
24;5;ROUTE_1;0.0;29520.0;29520.0
28;2;ROUTE_1;2500.0;29637.0;27137.0
26;1;ROUTE_1;10674.0;31344.0;20670.0
24;5;ROUTE_2;29520.0;63457.0;33937.0
25;5;BLOCKER;63457.0;63859.0;402.0
25;3;ROUTE_2;31995.0;70272.0;38277.0
26;3;BLOCKER;70272.0;70674.0;402.0
26;3;BLOCKER;70674.0;71076.0;402.0
27;3;BLOCKER;71076.0;71478.0;402.0
26;5;BLOCKER;70859.0;71663.0;804.0
27;5;BLOCKER;71663.0;72065.0;402.0
26;1;ROUTE_2;39444.0;75906.0;36462.0
27;1;BLOCKER;75906.0;76308.0;402.0
27;4;ROUTE_2;39750.0;81562.0;41812.0
28;4;BLOCKER;81562.0;82366.0;804.0
28;1;BLOCKER;81808.0;82612.0;804.0
28;4;BLOCKER;82366.0;82768.0;402.0
28;1;BLOCKER;82612.0;83014.0;402.0
28;4;BLOCKER;82768.0;83170.0;402.0
28;5;BLOCKER;82065.0;83271.0;1206.0
28;1;BLOCKER;83014.0;83416.0;402.0
28;5;BLOCKER;83271.0;83673.0;402.0
28;3;BLOCKER;82478.0;84086.0;1608.0
28;2;ROUTE_2;44637.0;87764.0;43127.0
31;4;BLOCKER;83170.0;95854.0;12684.0
31;4;BLOCKER;95854.0;95904.0;50.0
30;4;BLOCKER;95904.0;96354.0;450.0
32;2;BLOCKER;87764.0;100046.0;12282.0
31;1;BLOCKER;87916.0;101002.0;13086.0
29;2;BLOCKER;100046.0;105099.0;5053.0
29;2;BLOCKER;105099.0;109852.0;4753.0
30;1;ROUTE_1;101002.0;118972.0;17970.0
32;2;BLOCKER;109852.0;122683.0;12831.0
32;3;ROUTE_1;94086.0;125015.0;30929.0
31;5;ROUTE_1;93673.0;128331.0;34658.0
29;4;ROUTE_1;106354.0;130499.0;24145.0
29;4;ROUTE_2;130499.0;159726.0;29227.0
30;4;BLOCKER;159726.0;160128.0;402.0
30;1;ROUTE_2;126472.0;166224.0;39752.0
31;1;BLOCKER;166224.0;166626.0;402.0
31;1;BLOCKER;166626.0;167028.0;402.0
32;1;BLOCKER;167028.0;167430.0;402.0
31;4;BLOCKER;166628.0;167432.0;804.0
32;4;BLOCKER;167432.0;167834.0;402.0
31;5;ROUTE_2;135831.0;176293.0;40462.0
32;5;BLOCKER;176293.0;176695.0;402.0
32;3;ROUTE_2;138415.0;181452.0;43037.0
